Alarm Name,Alarm ID,Severity,Managed Object Type Name,Managed Object Type ID,Managed Object Type Version ID,Alarm Group Name,Alarm Group ID
Switch The two switches in the M-LAG have different type1 configurations,650082,Warning,OSS,100000,1,OSS,100000
Switch MAC flapping detected,650083,Warning,OSS,100000,1,OSS,100000
Switch The CPU usage exceeded the pre-set overload threshold,650084,Critical,OSS,100000,1,OSS,100000
Switch The storage usage exceeded the pre-set overload threshold,650085,Critical,OSS,100000,1,OSS,100000
High Network Delay,700001,Major,OSS,100000,1,OSS,100000
High Network Packet Loss Rate,700002,Major,OSS,100000,1,OSS,100000
Incorrect Format of Fingerprint File for OS User Password-free SSH Login,700012,Major,OSS,100000,1,OSS,100000
CA is about to expire,800001,Major,OSS,100000,1,OSS,100000
CA has expired,800002,Critical,OSS,100000,1,OSS,100000
The number of certificates issued by Certificate Authority Service is about to reach the upper limit,800003,Major,OSS,100000,1,OSS,100000
The number of certificates issued by Certificate Authority Service has reached the upper limit,800004,Critical,OSS,100000,1,OSS,100000
CRL is published failed,800005,Critical,OSS,100000,1,OSS,100000
Certificate is about to expire of Certificate Authority Service,800006,Major,OSS,100000,1,OSS,100000
Certificate has expired of Certificate Authority Service,800007,Critical,OSS,100000,1,OSS,100000
Expired certificates are archived failed,800008,Major,OSS,100000,1,OSS,100000
Certificate of the CA Proxy Service Is About To Expire,800009,Major,OSS,100000,1,OSS,100000
Certificate of the CA Proxy Service Has Expired,800010,Critical,OSS,100000,1,OSS,100000
RADIUS Server Connection Failed,1777670,Critical,OSS,100000,1,OSS,100000
Login Attempts Reach the Maximum Value ,505001106,Major,OSS,100000,1,OSS,100000
Failed to Send the Remote Notification,505001111,Major,OSS,100000,1,OSS,100000
The license will expire,999999992,Major,OSS,100000,1,OSS,100000
The license has expired,999999993,Critical,OSS,100000,1,OSS,100000
The license resource exceeds the threshold,999999994,Major,OSS,100000,1,OSS,100000
The license is invalid,999999995,Major,OSS,100000,1,OSS,100000
The license sales item exceeds the threshold,999999996,Major,OSS,100000,1,OSS,100000
Alarm indicating that the eNVR disk is full,65300,Major,VCN,,,VCN,12613
eNVR disk fault alarm,65302,Major,VCN,,,VCN,12613
Communication Between NMS And VCN Is Abnormal,65305,Major,VCN,,,VCN,12613
NetEco Certificate Expired,0,Major,Controller,8214,0,Controller,278468729
Mask SC Alarm,15264,Major,Controller,8214,0,Controller,278468729
All Alarms Blocked,15269,Major,Controller,8214,0,Controller,278468729
WEB Certificate Invalid ,15296,Major,Controller,8214,0,Controller,278468729
WEB Certificate Will Expire,15297,Major,Controller,8214,0,Controller,278468729
WEB Certificate Expired,15298,Major,Controller,8214,0,Controller,278468729
Traffic Fluctuation Alarm,15306,Warning,Controller,8214,0,Controller,278468729
SMU Fault,21001,Major,Controller,8214,0,Controller,278468729
Insufficient Alarm Space,21002,Warning,Controller,8214,0,Controller,278468729
Abnormal System Voltage Check,21003,Major,Controller,8214,0,Controller,278468729
Abnormal System Current Check,21004,Major,Controller,8214,0,Controller,278468729
NetEco Certificate Will Expire,61581,Major,Controller,8214,0,Controller,278468729
Northbound TCP-MODBUS Certificate Will Expire,61582,Major,Controller,8214,0,Controller,278468729
NetEco Certificate Expired,61651,Major,Controller,8214,0,Controller,278468729
Offline Early Warning,61652,Warning,Controller,8214,0,Controller,278468729
Northbound TCP-MODBUS Certificate Expired,61656,Major,Controller,8214,0,Controller,278468729
SYS-LOG Certificate Expired,61657,Major,Controller,8214,0,Controller,278468729
SYS-LOG Certificate Will Expire,61712,Major,Controller,8214,0,Controller,278468729
Southbound TCP-MODBUS Certificate Expired,61834,Major,Controller,8214,0,Controller,278468729
Southbound TCP-MODBUS Certificate Will Expire,61835,Major,Controller,8214,0,Controller,278468729
Storage Space Abnormal,62297,Major,Controller,8214,0,Controller,278468729
ONVIF Certificate Is About to Expire,63007,Major,Controller,8214,0,Controller,278468729
ONVIF Certificate has expired,63008,Major,Controller,8214,0,Controller,278468729
The traffic usage exceed threshold.,181195,Warning,Controller,8214,0,Controller,278468729
Communication Between NMS And NE Is Abnormal,999999999,Major,Controller,8214,0,Controller,278468729
NetEco Certificate Expired,0,Major,Controller,8214,1,Controller,278468729
Mask SC Alarm,15264,Major,Controller,8214,1,Controller,278468729
All Alarms Blocked,15269,Major,Controller,8214,1,Controller,278468729
WEB Certificate Invalid ,15296,Major,Controller,8214,1,Controller,278468729
WEB Certificate Will Expire,15297,Major,Controller,8214,1,Controller,278468729
WEB Certificate Expired,15298,Major,Controller,8214,1,Controller,278468729
Traffic Fluctuation Alarm,15306,Warning,Controller,8214,1,Controller,278468729
SMU Fault,21001,Major,Controller,8214,1,Controller,278468729
Insufficient Alarm Space,21002,Warning,Controller,8214,1,Controller,278468729
Abnormal System Voltage Check,21003,Major,Controller,8214,1,Controller,278468729
Abnormal System Current Check,21004,Major,Controller,8214,1,Controller,278468729
